19,The Gray Man,2022-07-13,temp,Trending,https://image.tmdb.org/t/p/original//8cXbitsS6dWQ5gfMTZdorpAAzEH.jpg,https://image.tmdb.org/t/p/original//27Mj3rFYP3xqFy7lnz17vEd8Ms.jpg,"When a shadowy CIA agent uncovers damning agency secrets, he''s hunted across the globe by a sociopathic rogue operative who''s put a bounty on his head."
20,Jurassic World Dominion,2022-06-01,temp,Trending,https://image.tmdb.org/t/p/original//kAVRgw7GgK1CfYEJq8ME6EvRIgU.jpg,https://image.tmdb.org/t/p/original//9eAn20y26wtB3aet7w9lHjuSgZ3.jpg,"Four years after Isla Nublar was destroyed, dinosaurs now live—and hunt—alongside humans all over the world. This fragile balance will reshape the future and determine, once and for all, whether human beings are to remain the apex predators on a planet they now share with history’s most fearsome creatures."
21,Thor: Love and Thunder,2022-07-06,temp,Trending,https://image.tmdb.org/t/p/original//pIkRyD18kl4FhoCNQuWxWu5cBLM.jpg,https://image.tmdb.org/t/p/original//p1F51Lvj3sMopG948F5HsBbl43C.jpg,"After his retirement is interrupted by Gorr the God Butcher, a galactic killer who seeks the extinction of the gods, Thor enlists the help of King Valkyrie, Korg, and ex-girlfriend Jane Foster, who now inexplicably wields Mjolnir as the Mighty Thor. Together they embark upon a harrowing cosmic adventure to uncover the mystery of the God Butcher’s vengeance and stop him before it’s too late."
22,Doctor Strange in the Multiverse of Madness,2022-05-04,temp,Trending,https://image.tmdb.org/t/p/original//9Gtg2DzBhmYamXBS1hKAhiwbBKS.jpg,https://image.tmdb.org/t/p/original//wcKFYIiVDvRURrzglV9kGu7fpfY.jpg,"Doctor Strange, with the help of mystical allies both old and new, traverses the mind-bending and dangerous alternate realities of the Multiverse to confront a mysterious new adversary."
23,Thirteen Lives,2022-07-18,temp,Trending,https://image.tmdb.org/t/p/original//yi5KcJqFxy0D6yP8nCfcF8gJGg5.jpg,https://image.tmdb.org/t/p/original//tLXdaL1yNnHtHFYrL1RAKwt7nPx.jpg,"Based on the true nail-biting mission that captivated the world. Twelve boys and the coach of a Thai soccer team explore the Tham Luang cave when an unexpected rainstorm traps them in a chamber inside the mountain. Entombed behind a maze of flooded cave tunnels, they face impossible odds. A team of world-class divers navigate through miles of dangerous cave networks to discover that finding the boys is only the beginning."
24,Purple Hearts,2022-07-29,temp,Trending,https://image.tmdb.org/t/p/original//4JyNWkryifWbWXJyxcWh3pVya6N.jpg,https://image.tmdb.org/t/p/original//k5SYb9AM0x4IGVxG8fYEEH4wK1I.jpg,"An aspiring musician agrees to a marriage of convenience with a soon-to-deploy Marine, but a tragedy soon turns their fake relationship all too real."
42,12 Angry Men,1957-04-10,temp,Top Rated,https://image.tmdb.org/t/p/original//ow3wq89wM8qd5X7hWKxiRfsFf9C.jpg,https://image.tmdb.org/t/p/original//tj6iPnz18hGfr0LKqWmG6Cp3niO.jpg,"The defense and the prosecution have rested and the jury is filing into the jury room to decide if a young Spanish-American is guilty or innocent of murdering his father. What begins as an open and shut case soon becomes a mini-drama of each of the jurors'' prejudices and preconceptions about the trial, the accused, and each other."
91,365 Days: This Day,2022-04-27,temp,Romance,https://image.tmdb.org/t/p/original//7qU0SOVcQ8BTJLodcAlulUAG16C.jpg,https://image.tmdb.org/t/p/original//oasoFPah6e5kKHXEWOUVVgDoIva.jpg,"Laura and Massimo are back and hotter than ever. But the reunited couple''s new beginning is complicated by Massimo’s family ties and a mysterious man who enters Laura’s life to win her heart and trust, at any cost."
118,50 Greatest Harry Potter Moments,2011-07-27,temp,Documentaries,https://image.tmdb.org/t/p/original//g1xiBoLD6v3ZaXPa4QtuXiQeYKW.jpg,https://image.tmdb.org/t/p/original//4LOxoeZWt5wr9mooxEZRFK96lDd.jpg,"To mark the release two weeks ago of the eighth and final movie in the series, Robbie Coltrane narrates a countdown of the movie franchise''s best moments. From Harry''s first meeting with Ron and Hermione aboard the Hogwarts Express through to magical mysteries."
201,60 Seconds,2022-03-14,temp,Netflix Originals,https://image.tmdb.org/t/p/original//hwCdqtOGSj54EqKqUk32QX1RMJe.jpg,https://image.tmdb.org/t/p/original//iltwEQpfh93d3RavQhS54b2tv61.jpg,"In a world that''s faster, bigger and better than ever, every second counts! With talent from all over Aotearoa, do these hopefuls have what it takes to become famous in 60 seconds?"
226,After,2019-04-11,temp,Romance,https://image.tmdb.org/t/p/original//u3B2YKUjWABcxXZ6Nm9h10hLUbh.jpg,https://image.tmdb.org/t/p/original//997ToEZvF2Obp9zNZbY5ELVnmrW.jpg,"Tessa Young is a dedicated student, dutiful daughter and loyal girlfriend to her high school sweetheart. Entering her first semester of college, Tessa''s guarded world opens up when she meets Hardin Scott, a mysterious and brooding rebel who makes her question all she thought she knew about herself -- and what she wants out of life."
88,After Ever Happy,2022-08-24,temp,Romance,https://image.tmdb.org/t/p/original//vWLyXOFm1C3gnS8ksfqi7gwkijn.jpg,https://image.tmdb.org/t/p/original//sS4MadD7pKMt251vKxdJo2YrkYP.jpg,"As a shocking truth about a couple''s families emerges, the two lovers discover they are not so different from each other. Tessa is no longer the sweet, simple, good girl she was when she met Hardin — any more than he is the cruel, moody boy she fell so hard for."
219,After We Collided,2020-09-02,temp,Romance,https://image.tmdb.org/t/p/original//kiX7UYfOpYrMFSAGbI6j1pFkLzQ.jpg,https://image.tmdb.org/t/p/original//6hgItrYQEG33y0I7yP2SRl2ei4w.jpg,Tessa finds herself struggling with her complicated relationship with Hardin; she faces a dilemma that could change their lives forever.
92,After We Fell,2021-09-01,temp,Romance,https://image.tmdb.org/t/p/original//dU4HfnTEJDf9KvxGS9hgO7BVeju.jpg,https://image.tmdb.org/t/p/original//lV3UFPPxDIPelh46G9oySXN9Mcz.jpg,"Just as Tessa''s life begins to become unglued, nothing is what she thought it would be. Not her friends nor her family. The only person that she should be able to rely on is Hardin, who is furious when he discovers the massive secret that she''s been keeping. Before Tessa makes the biggest decision of her life, everything changes because of revelations about her family."
224,Beauty Salon: Special Service 3,2019-04-29,temp,Romance,https://image.tmdb.org/t/p/original//fMksaQrIVsFlVCLS8KQfLGZ5vgt.jpg,https://image.tmdb.org/t/p/original//4yABbmwq7D0vsSmDVzpJbQdFGJW.jpg,"In a deserted salon, female hair designer Se-jeong quits, and the salon is at risk. Jeong-soo, the owner, takes measures to overcome this hardship! He hires special male designers with ''special services''. Lonely women in the neighborhood soon hear about this, and start swarming into the salon."
26,Everything Everywhere All at Once,2022-03-24,temp,Trending,https://image.tmdb.org/t/p/original//w3LxiVYdWWRvEVdn5RYq6jIqkb1.jpg,https://image.tmdb.org/t/p/original//wp3vpSWAIjKSEeYb8F5NSZfONqw.jpg,"An aging Chinese immigrant is swept up in an insane adventure, where she alone can save what''s important to her by connecting with the lives she could have led in other universes."
104,Beyond Infinity: Buzz and the Journey to Lightyear,2022-06-10,temp,Documentaries,https://image.tmdb.org/t/p/original//mnp0INIjyWt4AziWmTHgPk9IFoE.jpg,https://image.tmdb.org/t/p/original//mBJ995JUssgh2hhm4JxNj8hyVVM.jpg,"Explore the evolution of Buzz Lightyear from toy to human in the making of Pixar’s Lightyear. Dive into the origin and cultural impact of everyone’s favorite Space Ranger, the art of designing a new “human Buzz,” and the challenges faced by the Lightyear crew along the way."
93,Black Emanuelle,1975-11-27,temp,Romance,https://image.tmdb.org/t/p/original//hFlfmv5oOLxmbybo2ruX7B9b514.jpg,https://image.tmdb.org/t/p/original//6DFL2MGl4SC2NvjlAbpl5C8WxtB.jpg,"In her first onscreen adventure, journalist/photographer Mae Jordan (known to her readers as '"Emanuelle'") travels to Africa on assignment. Questions of her own racial and sexual identity come to a head as she observes the troubled marriage of her hosts, Ann and Gianni Danieli. Matters are complicated further when Emanuelle finds herself in affairs with both of them, after which she flees Africa, only to be persued by Gianni, who had earlier rejected her and ridiculed her advances."
28,Bullet Train,2022-07-03,temp,Trending,https://image.tmdb.org/t/p/original//tVxDe01Zy3kZqaZRNiXFGDICdZk.jpg,https://image.tmdb.org/t/p/original//C8FpZfTPEZDjngPlatiFsaDB4A.jpg,"Unlucky assassin Ladybug is determined to do his job peacefully after one too many gigs gone off the rails. Fate, however, may have other plans, as Ladybug''s latest mission puts him on a collision course with lethal adversaries from around the globe—all with connected, yet conflicting, objectives—on the world''s fastest train."
